Date,"Item Code",Quantity,UoM,Division,"Req. No."
31/Dec/2021,"1428100                       ",144,"PIECE          ",20,RQN2112004098
31/Dec/2021,"1408100                       ",50,"BOX            ",20,RQN2112004098
31/Dec/2021,"1166100                       ",2000,"SHEET          ",20,RQN2112004098
31/Dec/2021,"1101159                       ",10,"PAD            ",20,RQN2112004098
31/Dec/2021,"1113103                       ",3000,"PIECE          ",20,RQN2112004098
31/Dec/2021,"1101160                       ",10,"PAD            ",20,RQN2112004098
31/Dec/2021,"1571014                       ",3000,"PIECE          ",20,RQN2112004098
31/Dec/2021,"BIO-000001                    ",120,"PIECE          ",20,RQN2112004098
31/Dec/2021,"1162100                       ",50,"BOOKLET        ",20,RQN2112004098
31/Dec/2021,"1101125                       ",50,"BOOKLET        ",20,RQN2112004098
31/Dec/2021,"1101123                       ",50,"BOOKLET        ",20,RQN2112004098
31/Dec/2021,"1101124                       ",50,"BOOKLET        ",20,RQN2112004098
31/Dec/2021,"1571009                       ",10,"ROLL           ",20,RQN2112004098
31/Dec/2021,"1537100                       ",5,"PIECE          ",20,RQN2112004098
31/Dec/2021,"1571025                       ",40,"LITRES         ",20,RQN2112004098
31/Dec/2021,"1433100                       ",5,"PIECE          ",20,RQN2112004098
31/Dec/2021,"1034101                       ",50,"PIECE          ",20,RQN2112004098
31/Dec/2021,"1101165                       ",5,"BOOKLET        ",20,RQN2112004098
31/Dec/2021,"1439101                       ",150,"REAM           ",20,RQN2112004098
31/Dec/2021,"1150100                       ",5000,"SHEET          ",20,RQN2112004098
