Date,"Item Code",Quantity,UoM,Division,"Req. No."
17/Jan/2022,"1152104                       ",10,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1101164                       ",3000,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1162100                       ",500,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1242104                       ",10,"BOX            ",46,RQN2201004235
17/Jan/2022,"1455100                       ",10,"BUNDLE         ",46,RQN2201004235
17/Jan/2022,"1106100                       ",20,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1101159                       ",5000,"PAD            ",46,RQN2201004235
17/Jan/2022,"1101160                       ",5000,"PAD            ",46,RQN2201004235
17/Jan/2022,"1166100                       ",2000,"SHEET          ",46,RQN2201004235
17/Jan/2022,"1457100                       ",24,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1113103                       ",1000,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1101123                       ",50,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1428100                       ",144,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1510101                       ",10,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1239100                       ",10,"PAD            ",46,RQN2201004235
17/Jan/2022,"1467100                       ",100,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1443100                       ",24,"DOZEN          ",46,RQN2201004235
17/Jan/2022,"1407100                       ",10,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1225102                       ",2000,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1225100                       ",2000,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1225103                       ",2000,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1225101                       ",2000,"PIECE          ",46,RQN2201004235
17/Jan/2022,"1152100                       ",2000,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1152101                       ",10,"BOOKLET        ",46,RQN2201004235
17/Jan/2022,"1571010                       ",100,"PIECE          ",46,RQN2201004235
