Date,"Item Code",Quantity,UoM,Division,"Req. No."
06/Jan/2022,"1439101                       ",40,"REAM           ",49,RQN2201004166
06/Jan/2022,"1571014                       ",700,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1510101                       ",3,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1428100                       ",144,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1571010                       ",20,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1225100                       ",500,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1225101                       ",500,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1225103                       ",500,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1225102                       ",250,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1101106                       ",5,"BOOKLET        ",49,RQN2201004166
06/Jan/2022,"1306100                       ",5,"BOOKLET        ",49,RQN2201004166
06/Jan/2022,"1467100                       ",40,"PIECE          ",49,RQN2201004166
06/Jan/2022,"BIO-000001                    ",40,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1242102                       ",5,"BOX            ",49,RQN2201004166
06/Jan/2022,"1242101                       ",5,"BOX            ",49,RQN2201004166
06/Jan/2022,"1113103                       ",1000,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1146100                       ",5,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1407100                       ",5,"BOOKLET        ",49,RQN2201004166
06/Jan/2022,"1455100                       ",5,"BUNDLE         ",49,RQN2201004166
06/Jan/2022,"1101151                       ",1000,"SHEET          ",49,RQN2201004166
06/Jan/2022,"1443100                       ",1,"DOZEN          ",49,RQN2201004166
06/Jan/2022,"1459100                       ",5,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1101123                       ",30,"BOOKLET        ",49,RQN2201004166
06/Jan/2022,"1150100                       ",1,"SHEET          ",49,RQN2201004166
06/Jan/2022,"1426100                       ",10,"PIECE          ",49,RQN2201004166
06/Jan/2022,"1101115                       ",5,"               ",49,RQN2201004166
