Date,"Item Code",Quantity,UoM,Division,"Req. No."
04/Nov/2021,"1439101                       ",30,"REAM           ",82,RQN2111003783
04/Nov/2021,"1101123                       ",30,"BOOKLET        ",82,RQN2111003783
04/Nov/2021,"1101124                       ",30,"BOOKLET        ",82,RQN2111003783
04/Nov/2021,"1162100                       ",30,"BOOKLET        ",82,RQN2111003783
04/Nov/2021,"1106101                       ",30,"BOOKLET        ",82,RQN2111003783
04/Nov/2021,"1433100                       ",12,"PIECE          ",82,RQN2111003783
04/Nov/2021,"1225100                       ",500,"PIECE          ",82,RQN2111003783
04/Nov/2021,"1225101                       ",500,"PIECE          ",82,RQN2111003783
04/Nov/2021,"1225103                       ",1000,"PIECE          ",82,RQN2111003783
04/Nov/2021,"1426100                       ",10,"PIECE          ",82,RQN2111003783
04/Nov/2021,"1306100                       ",5,"BOOKLET        ",82,RQN2111003783
04/Nov/2021,"1113103                       ",1000,"PIECE          ",82,RQN2111003783
04/Nov/2021,"1457100                       ",12,"PIECE          ",82,RQN2111003783
04/Nov/2021,"1408100                       ",50,"BOX            ",82,RQN2111003783
04/Nov/2021,"1101117                       ",2000,"SHEET          ",82,RQN2111003783
04/Nov/2021,"1150100                       ",3000,"SHEET          ",82,RQN2111003783
04/Nov/2021,"1150101                       ",5000,"BOOKLET        ",82,RQN2111003783
04/Nov/2021,"1201100                       ",1,"BOOKLET        ",82,RQN2111003783
04/Nov/2021,"1455100                       ",5,"BUNDLE         ",82,RQN2111003783
04/Nov/2021,"1101159                       ",3000,"PAD            ",82,RQN2111003783
