Date,"Item Code",Quantity,UoM,Division,"Req. No."
28/Jan/2022,"1455100                       ",4,"BUNDLE         ",91,RQN2201004295
28/Jan/2022,"1225103                       ",500,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1225100                       ",500,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1225101                       ",500,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1113103                       ",1000,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1101117                       ",2000,"SHEET          ",91,RQN2201004295
28/Jan/2022,"1101164                       ",3,"BOOKLET        ",91,RQN2201004295
28/Jan/2022,"1439101                       ",35,"REAM           ",91,RQN2201004295
28/Jan/2022,"1242102                       ",2,"BOX            ",91,RQN2201004295
28/Jan/2022,"1242101                       ",1,"BOX            ",91,RQN2201004295
28/Jan/2022,"1457100                       ",24,"PIECE          ",91,RQN2201004295
28/Jan/2022,"BIO-000001                    ",1,BOX,91,RQN2201004295
28/Jan/2022,"1034100                       ",50,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1101159                       ",2,"PAD            ",91,RQN2201004295
28/Jan/2022,"1101160                       ",2,"PAD            ",91,RQN2201004295
28/Jan/2022,"1467100                       ",48,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1101138                       ",2000,"SHEET          ",91,RQN2201004295
28/Jan/2022,"1459100                       ",3,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1101129                       ",500,"SHEET          ",91,RQN2201004295
28/Jan/2022,"1408100                       ",1,"BOX            ",91,RQN2201004295
28/Jan/2022,"1433100                       ",6,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1152104                       ",15,"BOOKLET        ",91,RQN2201004295
28/Jan/2022,"1411100                       ",3,"PIECE          ",91,RQN2201004295
28/Jan/2022,"1432100                       ",10,"PIECE          ",91,RQN2201004295
