Date,"Item Code",Quantity,UoM,Division,"Req. No."
29/Nov/2021,"1439101                       ",50,"REAM           ",33,RQN2111003898
29/Nov/2021,"1225103                       ",10000,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1225101                       ",500,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1106101                       ",60,"BOOKLET        ",33,RQN2111003898
29/Nov/2021,"1150100                       ",5000,"SHEET          ",33,RQN2111003898
29/Nov/2021,"1113103                       ",2000,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1571005                       ",1000,"SHEET          ",33,RQN2111003898
29/Nov/2021,"1034100                       ",200,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1408100                       ",50,"BOX            ",33,RQN2111003898
29/Nov/2021,"1428100                       ",100,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1433102                       ",15,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1455100                       ",5,"BUNDLE         ",33,RQN2111003898
29/Nov/2021,"1426100                       ",100,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1301100                       ",20,"BOOKLET        ",33,RQN2111003898
29/Nov/2021,"1120100                       ",20,"BOOKLET        ",33,RQN2111003898
29/Nov/2021,"1101115                       ",2,"               ",33,RQN2111003898
29/Nov/2021,"1242102                       ",2,"BOX            ",33,RQN2111003898
29/Nov/2021,"1166100                       ",100,"SHEET          ",33,RQN2111003898
29/Nov/2021,"1540100                       ",5,"PIECE          ",33,RQN2111003898
29/Nov/2021,"1432100                       ",20,"PIECE          ",33,RQN2111003898
