Date,"Item Code",Quantity,UoM,Division,"Req. No."
05/Oct/2021,"1459100                       ",5,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1146100                       ",15,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1150100                       ",10000,"SHEET          ",18,RQN2110003587
05/Oct/2021,"1242102                       ",5,"BOX            ",18,RQN2110003587
05/Oct/2021,"1242100                       ",5,"BOX            ",18,RQN2110003587
05/Oct/2021,"1242101                       ",5,"BOX            ",18,RQN2110003587
05/Oct/2021,"1433100                       ",5,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1432100                       ",12,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1456100                       ",12,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1201100                       ",2,"BOOKLET        ",18,RQN2110003587
05/Oct/2021,"1455100                       ",5,"BUNDLE         ",18,RQN2110003587
05/Oct/2021,"1428100                       ",120,"PIECE          ",18,RQN2110003587
05/Oct/2021,"BIO-000001                    ",140,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1101164                       ",10000,"BOOKLET        ",18,RQN2110003587
05/Oct/2021,"1106101                       ",20,"BOOKLET        ",18,RQN2110003587
05/Oct/2021,"1439101                       ",30,"REAM           ",18,RQN2110003587
05/Oct/2021,"1225101                       ",500,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1225103                       ",1000,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1467100                       ",40,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1101125                       ",20,"BOOKLET        ",18,RQN2110003587
05/Oct/2021,"1571014                       ",200,"PIECE          ",18,RQN2110003587
05/Oct/2021,"1408100                       ",50,"BOX            ",18,RQN2110003587
