Date,"Item Code",Quantity,UoM,Division,"Req. No."
29/Nov/2021,"1439101                       ",30,"REAM           ",17,RQN2111003909
29/Nov/2021,"1242102                       ",4,"BOX            ",17,RQN2111003909
29/Nov/2021,"1225103                       ",1000,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1225100                       ",1000,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1225101                       ",1000,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1225102                       ",1000,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1455100                       ",5,"BUNDLE         ",17,RQN2111003909
29/Nov/2021,"1101160                       ",20,"PAD            ",17,RQN2111003909
29/Nov/2021,"1113103                       ",1000,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1460100                       ",10,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1101151                       ",4000,"SHEET          ",17,RQN2111003909
29/Nov/2021,"1150100                       ",5000,"SHEET          ",17,RQN2111003909
29/Nov/2021,"1457100                       ",24,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1443100                       ",12,"DOZEN          ",17,RQN2111003909
29/Nov/2021,"1408100                       ",100,"BOX            ",17,RQN2111003909
29/Nov/2021,"1101164                       ",2,"BOOKLET        ",17,RQN2111003909
29/Nov/2021,"1428100                       ",144,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1467100                       ",40,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1306100                       ",2,"BOOKLET        ",17,RQN2111003909
29/Nov/2021,"1101106                       ",4,"BOOKLET        ",17,RQN2111003909
29/Nov/2021,"1571014                       ",300,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1162100                       ",30,"BOOKLET        ",17,RQN2111003909
29/Nov/2021,"1101123                       ",30,"BOOKLET        ",17,RQN2111003909
29/Nov/2021,"1101124                       ",30,"BOOKLET        ",17,RQN2111003909
29/Nov/2021,"1101125                       ",20,"BOOKLET        ",17,RQN2111003909
29/Nov/2021,"1101159                       ",10,"PAD            ",17,RQN2111003909
29/Nov/2021,"1414100                       ",12,"DOZEN          ",17,RQN2111003909
29/Nov/2021,"1034100                       ",10,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1034101                       ",10,"PIECE          ",17,RQN2111003909
29/Nov/2021,"1166100                       ",2000,"SHEET          ",17,RQN2111003909
