Date,"Item Code",Quantity,UoM,Division,"Req. No."
01/Feb/2022,"1407100                       ",5000,"BOOKLET        ",28,RQN2202004341
01/Feb/2022,"1407100                       ",10,"BOOKLET        ",28,RQN2202004341
01/Feb/2022,"1306100                       ",5,"BOOKLET        ",28,RQN2202004341
01/Feb/2022,"1101115                       ",5,"     BOOKLET          ",28,RQN2202004341
01/Feb/2022,"1457100                       ",20,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1242102                       ",5,"BOX            ",28,RQN2202004341
01/Feb/2022,"1242101                       ",5,"BOX            ",28,RQN2202004341
01/Feb/2022,"1242100                       ",5,"BOX            ",28,RQN2202004341
01/Feb/2022,"1433100                       ",10,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1433101                       ",5,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1571004                       ",5,"ROLL           ",28,RQN2202004341
01/Feb/2022,"1049100                       ",100,"EACH           ",28,RQN2202004341
01/Feb/2022,"1034101                       ",100,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1049101                       ",100,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1101164                       ",2,"BOOKLET        ",28,RQN2202004341
01/Feb/2022,"1225100                       ",500,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1225101                       ",500,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1225103                       ",500,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1106101                       ",40,"BOOKLET        ",28,RQN2202004341
01/Feb/2022,"1432100                       ",20,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1510100                       ",5,"PIECE          ",28,RQN2202004341
01/Feb/2022,"1540101                       ",10,"PIECE          ",28,RQN2202004341
01/Feb/2022,"BIO-000001                    ",70,ROLLS,28,RQN2202004341
01/Feb/2022,"1411100                       ",22,"PIECE          ",28,RQN2202004341
