Date,"Item Code",Quantity,UoM,Division,"Req. No."
05/Jan/2022,"1152101                       ",4,"BOOKLET        ",45,RQN2201004045
05/Jan/2022,"1439101                       ",60,"REAM           ",45,RQN2201004045
05/Jan/2022,"1034102                       ",10,"PIECE          ",45,RQN2201004045
05/Jan/2022,"1034101                       ",10,"PIECE          ",45,RQN2201004045
05/Jan/2022,"1106101                       ",20,"BOOKLET        ",45,RQN2201004045
05/Jan/2022,"1225100                       ",250,"PIECE          ",45,RQN2201004045
05/Jan/2022,"1225101                       ",1000,"PIECE          ",45,RQN2201004045
05/Jan/2022,"1166100                       ",2000,"SHEET          ",45,RQN2201004045
05/Jan/2022,"1433100                       ",5,"PIECE          ",45,RQN2201004045
05/Jan/2022,"1455100                       ",5,"BUNDLE         ",45,RQN2201004045
05/Jan/2022,"1428100                       ",144,"PIECE          ",45,RQN2201004045
05/Jan/2022,"1162100                       ",10,"BOOKLET        ",45,RQN2201004045
05/Jan/2022,"1101123                       ",30,"BOOKLET        ",45,RQN2201004045
05/Jan/2022,"1510101                       ",10,"PIECE          ",45,RQN2201004045
05/Jan/2022,"1150100                       ",10000,"SHEET          ",45,RQN2201004045
