Date,"Item Code",Quantity,UoM,Division,"Req. No."
30/Sep/2021,"1439101                       ",50,"REAM           ",24,RQN2109002534
30/Sep/2021,"1162100                       ",40,"BOOKLET        ",24,RQN2109002534
30/Sep/2021,"1101123                       ",50,"BOOKLET        ",24,RQN2109002534
30/Sep/2021,"BIO-000001                    ",70,PIECE,24,RQN2109002534
30/Sep/2021,"1034100                       ",50,"PIECE          ",24,RQN2109002534
30/Sep/2021,"1106101                       ",40,"BOOKLET        ",24,RQN2109002534
30/Sep/2021,"1225100                       ",500,"PIECE          ",24,RQN2109002534
30/Sep/2021,"1225103                       ",1000,"PIECE          ",24,RQN2109002534
30/Sep/2021,"1225101                       ",1000,"PIECE          ",24,RQN2109002534
30/Sep/2021,"1455100                       ",5,"BUNDLE         ",24,RQN2109002534
30/Sep/2021,"1426100                       ",10,"PIECE          ",24,RQN2109002534
30/Sep/2021,"1113103                       ",2000,"PIECE          ",24,RQN2109002534
30/Sep/2021,"1407100                       ",5,"BOOKLET        ",24,RQN2109002534
30/Sep/2021,"1242104                       ",5,"BOX            ",24,RQN2109002534
30/Sep/2021,"1242101                       ",5,"BOX            ",24,RQN2109002534
30/Sep/2021,"1457100                       ",12,"PIECE          ",24,RQN2109002534
30/Sep/2021,"1408100                       ",50,"BOX            ",24,RQN2109002534
30/Sep/2021,"1119100                       ",10,"PAD            ",24,RQN2109002534
30/Sep/2021,"1146100                       ",10,"PIECE          ",24,RQN2109002534
